id,question_id,content
A1301,T1301,由上圖「秋刀魚還是加薪了」，以及文中「為了把它留下來／只好幫它加薪了」可推知，此則粉專貼文的用意為告知秋刀魚的價格上漲。
A1302,T1302,(A)衷→終。 (B)言→沿。 (C)誤→物。 故選【D】 
A1303,T1303,(A)「承讓」承蒙退讓。常用於贏取競賽後，將勝利歸因於承蒙對方禮讓的謙詞，故不適合用於亞軍向冠軍道賀。 (B)「獻醜」露出醜態。向人表露自己技能時的謙詞，故適用於自告奮勇。 (C)「淺見」淺薄的見解。多用以表示自謙，由當事人自己使用。此處宜更為「高見」。 (D)「薄酌」謙稱自己準備的酒席不豐富，故不適合用於對主人的感謝。 故選【B】
A1304,T1304,(A)問卷題目「您是否同意廢除最低工資的設立？」阿寶的立場「最低工資要受到保障」即「不同意廢除最低工資」，故(A)錯誤。 (B)問卷題目「您是否同意禁止種植基因改造植物？」阿寶的立場「反對基因改造」即「同意禁止種植基因改造植物」，故(B)正確。 (C)問卷題目「您是否同意政府不應全面禁止動物實驗？」阿寶的立場「人類福祉應優先於其他動物」為支持動物實驗，即「政府不應全面禁止動物實驗」，故(C)錯誤。 (D)問卷題目「您是否同意政府不可為了國家建設而提高稅率？」阿寶的立場「不想多繳稅」即「同意政府不可為了國家建設而提高稅率」，故(D)錯誤。 故選【B】 
A1305,T1305,(A)由「九月中秋夜」、「玉兔」、「嫦娥」可知廣告文案融入節慶的元素。 (B)由「請全城的人暫停數羊，延緩睡眠，離開網路，到這裡來喝咖啡、聽歌、翻書、跳舞、看月亮。」可知廣告文案中邀請民眾蒞店同樂。 (C)廣告文案中，未有提及「終身學習」，並且沒有強調「學習的重要」。(D)由「九月中秋夜，月亮剛出爐，玉兔罷工，眾店打烊，只有本書店歡樂開張。」可知此文案中點出書店開幕日為晚上營業。 故選【C】
A1306,T1306,題幹中「月落星沉」的「落」字義為「脫離、下墜」。
A1307,T1307,引文中可推知在說明人生的境遇。由「一旦進入森林，草叢和荊棘擋路，情形就變了，各人專心走各人的路，尋找各人的方向」可推知當人生遭遇困境時，每個人將各自面對自己的路，尋找自我的人生方向。
A1308,T1308,(A)ㄉㄨㄟˋ (B)一ㄣˊ (C)ㄑ一ㄥˋ，無誤。 (D)ㄐㄧㄝˊ
A1309,T1309,(A)由「受制於政治考量」可知，官方的主事者常受制於政治考量。 (B)由「官方的主事者常攜帶大批補給裝備」可知，非私人支持的遠征隊。 (C)由「可主導成員的挑選」可知，私人支持遠征隊的主事者專心致志，可主導成員的挑選。 (D)由「每個人都有擅長的領域」可知，私人支持遠征隊的成員都有擅長的領域。
A1310,T1310,由本題得知，篆刻文字特點為：用筆圓轉，結構勻稱，筆畫粗細均勻。
A1311,T1311,(A)妙筆生花多用於作文比賽，宜改為口若懸河、辯才無礙。 (B)新鶯出谷多用於歌唱比賽，宜改為妙筆生花、文章斐然。 (C)鐵畫銀鉤多用於書法比賽。 (D)口若懸河多用於演說比賽，宜改為新鶯出谷、玉潤珠圓。
A1312,T1312,(A)本詩頷聯、頸聯無對仗，偶數句亦無全部押韻，故非律詩。 (B)本詩反映社會貧富差距的不合理現象，並非山居躬耕的閒適詩。 (C)從「苗疏稅多不得食，輸入官倉化為土。歲暮鋤犁傍空室，呼兒登山收橡實。」可知。 (D)本詩以農家與商賈對比，凸顯社會不公平的現象。
A1313,T1313,文章首句藉由譬喻表達「遺忘」如同舞臺打燈後的暗處。 
A1314,T1314,詞作首句的「玉」可泛指人身上玉製的配件。「玉慘花愁」表達了連美好的玉都淒涼黯淡，花都憂愁不堪，進而呈現人物的哀戚，情景交融。接著由「尊前一唱〈陽關曲〉，別個人人第五程？」可知為送別的場景，進而推論「慘」和「愁」的思緒是因為與重要之人分別。下闕則藉由「夢」間接表達已經遠離重要之人，而期望能與重要之人夢中相會；最後以「淚」呼應「雨」，直言因思念對方而淚流到天明。 
A1315,T1315,由題目「若某人說話時的語調、手勢、表情，和他所說的內容不一致或情境模糊時，人們比較容易受到語調和非語言行為的影響。」可以得知溝通時須注意說話內容和語調、手勢、表情是否一致，否則語調、非語言行為影響較深，因此(C)非語言的「臭臉」與實際內容「謝謝」不一致，導致別人認為他不開心。
A1316,T1316,(A)五穀不分：指脫離現實，昏昧無知，並非表達健康的飲食。 (B)不愧屋漏：處事光明正大，即使在無人之處，亦持心端正，無愧於神明。不適合用於形容屋子堅固。 (C)以蠡測海：見聞短小淺陋。不適合用來說明儀器測量的狀況。 (D)行將就木：年紀已大，壽命將盡。符合題意內容。
A1317,T1317,本題為四大句型的判斷句，結合文言文常見的判斷句結構：「……（者），（乃／即／猶）……也」。另外，題目提及「求學必須先立定志向」，再從選項提示，可推知此志向為「聖賢」，用以類比「射箭者」的目標在「正鵠」。因斷句錯誤與標點符號誤植，故(A)(C)(D)無法明確表示類比關係。 
A1318,T1318,由文中「吳有燒桐以爨者，邕聞火烈聲，曰：『此良材也。』因請之，削之以琴，果有美音。而其尾焦，因名『焦尾琴』」可以得知焦尾琴是因為蔡邕懂得桐木是良材因此製成。 
A1319,T1319,由「故愛身者，不貴赫赫之名。」可以得知潔身自愛的人不重視響亮名聲。
A1320,T1320,(A)象形（木）加上抽象符號（一），故為指事字。(B)聲符（工）加上形符（力），故為形聲字。 (C)由兩個形符（火）所組成，故為會意字。 (D)雨為象形字。
A1321,T1321,由文章形式中多以工整句式加強論述氣勢，如：「快於意者虧於行，甘於心者傷於性」、「 滅悁悁之恥，除久久之恨」、「智者不冀僥倖以要功，明者不苟從志以順心」、「事必成，然後舉；身必安，而後行」、「發無失舉之尤，動無蹉跌之愧也」、「貴匹夫之勇，信一劍之任」。文末建議太子不可逞匹夫之勇，應三思而後行。
A1322,T1322,(A)由「每春間貧民皆就貸焉。償時多寡不較，悉納之」可知張氏為積善之人，且由空中之言得知張氏得到護佑。 (B)於文中貧民未有替張氏虔誠祈願。 (C)「此張不量田，勿傷其稼。」為「張氏之田獨無恙」之原因，與田產甚多無法丈量無關。 (D)於文中空中之聲「此張不量田，勿傷其稼。」可知是得到上天之護佑，而非賈人助其田稼，倖免於難。
A1323,T1323,(A)由「因鰲鼓溼地水位升高，使黑面琵鷺棲息處距離賞鳥亭長達300多公尺」、「往年低水位時，會浮出大片沙洲，黑面琵鷺棲息在賞鳥亭前約 50 公尺處。今年若要觀賞牠們，務必攜帶高倍望遠鏡」知，水位越高，黑面琵鷺距離越遠，宜用高倍望遠鏡。 (B)黑面琵鷺的棲地位置將會因為水位高低而改變。 (C)由賞鳥「期間逢假日8時至16時將實施管制」可知，並非全天候。 (D)由文中最後一段內容可知，賞鳥期間在非假日期間可以自由進出南、北閘門。
A1324,T1324,(A)由「使女工繅之，以為美錦，國君服而朝之」以及「使賢者教之，以為世士，則天下諸侯莫敢不敬」二句可知，作者以繭為喻，說明教化對修身的重要性。 (B)文中美錦指的是教化修身，並非實際的奢靡服儀。 (C)以「繭與女工」跟「身與教化」做類比，強調教化的重要。 (D)以腐蠹的蠶繭比喻尚未受教化的人，並未嘲諷國政的影響。
A1325,T1325,(A)文中第二段提及作者對於愛丁堡的「記憶幾乎都局限在從宿舍到圖書館的一段路」，以及第四段「二十幾歲的時候，人和城市的關係是有目的性的」，再結合末段感想「只是當時不覺得匆忙，往後回想，才看出其中的風塵僕僕」可得知，文中的我（即作者）當年留在愛丁堡，是帶有目的性的停留。 (B)第四段提及的「偏頗」起因於人對城市帶有特定目的性，而文中作者前往大象咖啡廳不是為求學做研究，而是每日最期待的休息放鬆。 (C)第三段文中提及作者喜歡老圖書館的沉靜氛圍與古書氣味，並未提及因沉浸於其中而忘卻時間。 (D)由一、二段內文可知，作者因為冬天寒冷的緣故而經常想起愛丁堡的留學時光。
A1326,T1326,由文章末段「那時我們都還不知道，攜帶著單一的目標去生活是件挂一漏萬的事」可知，作者認為專心追求單一目標而遺漏了更多的體會，其實是種狹隘的生活視野。 
A1327,T1327,由文中第二段「但也因為暗示過於明顯……所以在出版時將絲線的顏色改為紫、黃、白。顏色一改，寓意就煙消雲散」可知，出版社將原書絲線顏色改掉，將會導致讀者無法感受作者諷刺的寓意。
A1328,T1328,(A)文中並未提及作者綏夫特致力於創作兒童奇幻文學，僅提及此著作為家喻戶曉的兒童奇幻文學作品。 (B)由第一段內容可知，本作品其實是一部用來諷刺人性、英國時政、權貴的奇幻作品。 (C)中文譯本僅選取第一、二冊之內容，並非濃縮原版本四冊成為二冊。 (D)由末段可知，早期譯者用「格物學」一詞是因為誤譯，與避免得罪當道無關。
A1329,T1329,(A)首段提到 1990 年將地球超載日這一套評估方法設計而出，不代表此年以前人類並未透支地球資源。 (B)應是「養活全世界的人口要1.75個地球的資源才夠」，而非指人類耗用的地球資源是前一年的1.75倍。 (C)由首段可知地球超載日指的是「耗盡當年度地球的永續資源」，接著提到「在剩餘的時間裡，都將以透支的方式消耗地球資源」代表資源並未消耗殆盡。 (D)從首段「今年（2022年）的『地球超載日』在7月28日」、「如果每個人的生活方式都跟美國人一樣，那2022年地球超載日會落在3月13日」，可得知美國人的生活方式給地球更大的負擔。 
A1330,T1330,(A)由「地球上超過一半的生物承載力是用來養活人類。很大一部分的糧食和原物料是用於畜牧……」，可知提升畜牧產量將會加快地球超載日。 (B)文中未提及野生動物保育工作與畜牧業的關聯，故無法推論可以延後地球超載日。 (C)由末段「如果可以將肉品消費量減半，地球超載日就可以延後17天」，代表肉類飲食會加重地球的消耗，故可反推飲食蔬菜比例增加可使地球超載日延後。 (D)由第二段「2020年因Covid-19疫情爆發，地球超載日曾往後延了三週」，可知疫情再爆發反而利於地球超載日的延後。
A1331,T1331,(A)由「成畫年代久遠且畫作的絹本質材脆弱」可得知北宋時期的畫作可繪於絲織品上。 (B)文中提及范寬、郭熙、李唐為巨碑式山水畫的典範，但不代表三者師出同門，且於上文未有任何線索可知三人師承何處。 (C)從上文「雖非模仿全然真境」可得知北宋山水畫作未有全然描繪實景。 (D)從「據畫上紀年推算，時代最近的〈萬壑松風〉」可得知其為三者中成畫年代最晚。
A1332,T1332,(A)若依照展出起迄，展出日期至少72天，有違規定「不超過42 天」。 (B)文中提及「距離前次三寶合體展出已相隔十年」，此次展覽並非首次合體展出。 (C)范寬、郭熙、李唐三人是按照出生年份之排序。 (D)從「2012 年於文化部核定公告為國寶級古物」可知此三幅畫已有官方的核定。 
A1333,T1333,由第二段「一般人說的『人工智慧』，是一個很大的架構，其中一個領域是『機器學習』。而深偽技術是屬於『機器學習』裡的『深度學習』」可知，「人工智慧」涵蓋了「機器學習」，而「機器學習」又涵蓋了「深度學習」。
A1334,T1334,由「 這兩個模型結合後，就像是一邊有一個人畫狗，另一邊有一個老師說這跟真的狗差很多，所以畫的人要再修改。直到有一天這個人畫的狗能騙過老師，而老師在一次次判斷中也越來越厲害」，可知二者之間的競爭是互有高下、更相勝出。
A1335,T1335,(A)由「美國媒體製作這段影片的目的在提醒大眾，此類影片極可能成為操縱輿論的利器」可知，目的在提醒大眾此類影片潛藏的危機，並非以此操縱民主。 (B)由「原來這是他模仿的影片，藉由深偽技術，竟可變成歐巴馬談話的片段」可知，演員並非透過深偽技術增進自身表演技巧。 (C)由「最大的危機就是造成民眾對社會產生不信任感，逐步地破壞民主制度」可知。 (D)由「 但也有人利用合成的假影像操弄資訊，進而詐騙牟利、毀人聲譽，製造社會的動盪，讓這項技術引發爭議」可知，爭議在於「操弄資訊，進而詐騙牟利、毀人聲譽，製造社會的動盪」而非「人類的創意會被人工智慧取代」，通篇未提及人類創意一事。
A1336,T1336,由「茶蟲有的在拼命地啃茶葉，有的在吃畫面上的一個人物手裡捧著的飯，有的在吃另一個人物的衣服。」可知，茶蟲傷害的不僅是茶葉，還有古阿明一家的飯與衣服。
A1337,T1337,由最末段「他不忍破壞掉那純潔的心靈裡所流露出來的，敏銳得就如電流一般的感覺」可知，郭雲天不想破壞古阿明的創意。
A1338,T1338,(A)由「只緣讀書不作有用看故也」可知，是因為讀書時不將六經的內容視為有用的道理。 (B)由「看史見治則以為治，見亂則以為亂」可知，「見一事則止知一事」所指為「認知局限於單一事件本身」，故「對事情的理解不夠全面」正確。 (C)由「細看古人處一事，接一物，是如何思量？如何氣象？」可知，是古人面對當時的人事處境，所採取的應對措施，故非「思索今人當前所處的環境氛圍」。 (D)由「及自己處事接物時，又細心將古人比擬。設若古人當此」、「我自己任性為之，又當如何」兩相比較，此指面臨自己處事接物時，設想古人的舉措與自己任性而為，做出對比。故非「今人比古人更加不受拘束」。
A1339,T1339,(A)由「豈老成之言過於六經哉」的詰問可知，作者並非認為「耳熟能詳的淺近道理，更勝於聖賢之言」。 (B)由「及自己處事接物時……然後自己過錯始見，古人道理始出」可知。 (C)(D)由甲文「觀史如身在其中，見事之利害、時之禍患，必掩卷自思，使我遇此等事，當作何處之」、乙文「斷不可以古人之書，與自己處事接物為兩事」，可知讀古人書應當將古人的處事接物，連結到自身的經驗上。 
A1340,T1340,(A)「亡」：失去。 (B)「信」：確實。 (D)「其」：表示期望的祈使語氣。
A1341,T1341,(A)文中未提及令尹欲嫁禍他人。 (B)文中未提及令尹對於盜賊橫行的看法，只提到因王宮遭竊，令尹因此怪罪江乙。 (C)認為宮中之物被盜為令尹之責的人應為江母，並非楚王。 (D)由「令尹信盜之，寡人不為其富貴而不行法焉。若不盜而誣之，楚國有常法」可知，楚王認為無論身分，皆應依法判決。
A1342,T1342,由第一段可知，江母因兒子江乙獲罪而晉見楚王，再由第二段江母回答楚王「令尹的罪過在哪裡」的問題，可知江母認為百姓的過錯在於上位者，如果身為大夫的江乙因宮中遭竊而受到懲罰，那麼位高權重的令尹也應當受罰。